,subject,session,scan,bias_max,bias_med,bias_min,cnr,efc,fber,fwhm,fwhm_x,fwhm_y,fwhm_z,icvs_csf,icvs_gm,icvs_wm,qi1,rpve_csf,rpve_gm,rpve_wm,size_x,size_y,size_z,snr,snr_csf,snr_gm,snr_wm,spacing_x,spacing_y,spacing_z,summary_mean_bg,summary_mean_csf,summary_mean_gm,summary_mean_wm,summary_p05_bg,summary_p05_csf,summary_p05_gm,summary_p05_wm,summary_p95_bg,summary_p95_csf,summary_p95_gm,summary_p95_wm,summary_stdv_bg,summary_stdv_csf,summary_stdv_gm,summary_stdv_wm
10,sub-206,ses-FU,T1w,1.21581721306,0.365170359612,0.177963748574,1.25531363487,0.453390346636,243.469207764,2.1207,2.09672,2.22764,2.04198,0.144298041049,0.391115781688,0.464586177263,0.356806467164,86152.4296875,146517.4375,139919.328125,170,256,256,3.24632239342,2.29622745514,3.09371304512,4.34902667999,1.0,1.0,1.0,768.63873291,376.417724609,441.181335449,721.046569824,330.549468994,67.8728256226,66.4957275391,104.12335968,1239.5604248,1090.81323242,809.846191406,1245.06958008,288.96987915,362.700683594,228.050048828,353.104614258
11,sub-133,ses-BL,T1w,0.987150609493,0.415419876575,0.252335608006,1.59930300713,0.3827278625,25.1475830078,2.97895,2.87222,3.473,2.65012,0.195152829458,0.399036984322,0.40581018622,0.835352419655,73557.078125,143563.90625,65242.7226562,256,182,256,2.64770150185,1.38010621071,2.48184776306,4.08115100861,0.879999995232,1.20000016689,0.879999995232,495.544189453,165.06388855,289.567230225,579.306335449,187.848922729,64.9511642456,53.4892892838,146.203964233,834.176574707,273.813690186,528.524108887,872.383117676,207.345718384,90.5806350708,145.561462402,232.459869385
12,sub-127,ses-BL,T1w,1.22924005985,0.45949947834,0.224489748478,1.63028430939,0.453091889878,22.0334358215,3.22087,3.06897,3.75605,2.89865,0.205314705923,0.386201468241,0.408483825836,0.854709096753,107090.742188,199506.421875,84870.234375,256,182,256,2.35640358925,1.17190372944,2.13351130486,3.76379585266,0.879999995232,1.20000004768,0.879999935627,399.54196167,125.005867004,221.013717651,486.771606445,139.478240967,54.7769203186,36.7716217041,117.669044495,713.241027832,206.047393799,421.604675293,754.450500488,186.36277771,71.0263137817,117.808380127,200.117660522
13,sub-109,ses-BL,T1w,1.08532226086,0.471718639135,0.252969026566,1.94278907776,0.397854039198,30.2181625366,3.1349,3.02442,3.63137,2.80516,0.190634160797,0.424564559106,0.384801280097,0.765334147086,95810.5,166171.4375,65588.625,256,182,256,2.79244065285,1.37102997303,2.53175163269,4.47454071045,0.879999935627,1.20000004768,0.880000054836,775.198852539,235.365692139,438.803649902,947.66192627,278.493591309,98.6331481934,56.2210578918,229.757461548,1363.45825195,400.334259033,829.678833008,1438.88354492,348.989929199,119.692245483,234.112792969,385.35534668
14,sub-108,ses-FU,T1w,2.32012844086,0.673297405243,0.325997442007,0.963103413582,0.464537260949,214.380767822,2.05561,2.03849,2.09976,2.02929,0.174133219677,0.40519202922,0.420674751103,0.51448528694,92881.828125,165290.8125,175321.0,170,256,256,2.81117725372,1.87866377831,2.79588198662,3.75898551941,1.0,1.0,1.0,693.695007324,320.68447876,412.863891602,620.273986816,267.22857666,65.4994354248,61.5764427185,82.7843399048,1154.19995117,909.714294434,784.628540039,1142.82861328,276.612213135,303.318634033,220.608642578,325.582366943
15,sub-112,ses-BL,T1w,1.41408205032,0.568853676319,0.346056610346,1.46065306664,0.414634455466,108.527763367,2.9379,2.87702,3.33938,2.63939,0.207333340425,0.383612875196,0.409053784378,0.659763149816,96302.6640625,154512.8125,78614.453125,256,182,256,2.36777043343,1.28036117554,2.18114876747,3.64180183411,0.879999995232,1.20000004768,0.879999995232,604.251464844,206.694473267,337.437103271,707.822570801,227.213851929,81.1478042603,56.2355422974,175.117248535,1030.57714844,340.820770264,612.665893555,1083.32324219,262.278869629,137.771560669,174.06451416,292.830383301
16,sub-132,ses-FU,T1w,1.35862708092,0.41809424758,0.207154467702,1.17836177349,0.467057923952,277.81652832,2.19398,2.16869,2.32352,2.0958,0.164669004985,0.367719483564,0.467611511451,0.702168082253,92706.4375,155643.140625,142392.265625,170,256,256,3.03715801239,2.03547382355,2.94881916046,4.12718105316,1.0,0.999999940395,1.0,831.165649414,373.328674316,473.066070557,794.617553711,330.045410156,89.3872375488,67.8621646881,122.804702759,1361.43725586,1072.64758301,888.371704102,1375.18920898,314.094543457,311.141601562,250.438186646,382.571563721
17,sub-320,ses-BL,T1w,1.0936974287,0.419159531593,0.218968510628,2.27023005486,0.403604710843,29.5379161835,3.21424,3.17371,3.61654,2.89317,0.174658694806,0.396654876257,0.428686428937,0.802655265527,99817.453125,173759.546875,71720.734375,256,182,256,3.2746925354,1.6069675684,2.97343969345,5.24366998672,0.879999995232,1.20000016689,0.880000054836,550.26751709,160.987701416,296.094665527,663.921508789,187.632919312,66.9490203857,38.6844177246,172.462860107,954.133361816,267.476715088,566.890991211,1002.03967285,247.619125366,100.097312927,160.927261353,259.246459961
18,sub-126,ses-BL,T1w,1.48399877548,0.409204542637,0.227320596576,1.74767434597,0.390633803913,20.3475284576,2.99782,2.85386,3.44743,2.73835,0.156251485918,0.432598060633,0.411150453449,0.831889606544,79628.0078125,137573.109375,65218.5898438,256,182,256,2.69917368889,1.36874294281,2.49055147171,4.23822593689,0.879999935627,1.20000004768,0.879999995232,648.868164062,195.809127808,374.285522461,760.206359863,238.907562256,67.0744171143,56.5265731812,185.626922607,1099.87634277,338.076751709,694.184265137,1153.96862793,278.983795166,142.065872192,192.978591919,308.12902832
19,sub-133,ses-FU,T1w,1.92678403854,0.504883944988,0.266735821962,1.14479887486,0.424345455622,286.304382324,2.08966,2.0563,2.23758,1.98319,0.147631215934,0.400427517323,0.451941266742,0.377763624784,75546.2734375,135982.703125,132096.5625,170,256,256,2.87638473511,1.92505955696,2.77964806557,3.92444705963,1.0,1.0,1.0,719.217468262,324.534301758,414.862121582,666.601074219,290.561645508,66.480506897,62.255865097,88.3310165405,1179.68029785,976.28717041,772.893981934,1179.68029785,276.140869141,305.133422852,215.916946411,339.245635986
